Principio Activo,Cantidad de Medicamentos,Nombre en Inglés
ACETAMINOFEN,295,Acetaminophen
NICOTINAMIDA,215,Nicotinamide
IBUPROFENO,211,Ibuprofen
ACIDO FOLICO,180,Folic Acid
CLOTRIMAZOL,162,Clotrimazole
CLORURO DE SODIO,154,Sodium Chloride
PIRIDOXINA CLORHIDRATO,134,Pyridoxine Hydrochloride
VITAMINA C,123,Vitamin C
DICLOFENACO SODICO,116,Sodium Diclofenac
HIDROCLOROTIAZIDA,113,N/A
ACIDO ASCORBICO,105,Ascorbic Acid
VITAMINA E,104,N/A
VITAMINA A,99,N/A
LORATADINA,96,N/A
VITAMINA B6,95,N/A
VITAMINA B12,90,Vitamin B12
VITAMINA D,88,Vitamin D
SULFAMETOXAZOL,88,N/A
FENILEFRINA CLORHIDRATO,86,N/A
VITAMINA B1,86,N/A
TIAMINA CLORHIDRATO,85,N/A
CLORURO DE POTASIO,82,N/A
VITAMINA B2,81,N/A
OXIDO DE ZINC,78,N/A
FLUCONAZOL,76,N/A
RIBOFLAVINA,76,N/A
CLORFENIRAMINA MALEATO,75,N/A
PIROXICAM,75,N/A
ALBENDAZOL,73,N/A
ACICLOVIR,72,N/A
SALICILATO DE METILO,70,N/A
VITAMINA D3,68,N/A
ALCANFOR,68,N/A
BIOTINA,67,N/A
TINIDAZOL,67,N/A
MENTOL,67,N/A
SECNIDAZOL,67,N/A
CETIRIZINA DICLORHIDRATO,66,N/A
METRONIDAZOL,64,N/A
PANTOTENATO DE CALCIO,63,N/A
KETOCONAZOL,62,N/A
ACIDO SALICILICO,61,N/A
MELOXICAM,60,N/A
ENALAPRIL MALEATO,59,N/A
CIANOCOBALAMINA,58,N/A
GUAYACOLATO DE GLICERILO,58,N/A
VALSARTAN,57,N/A
AMBROXOL CLORHIDRATO,56,N/A
GENTAMICINA SULFATO EQUIVALENTE A GENTAMICINA BASE,56,N/A
VERAPAMILO CLORHIDRATO,54,N/A
CLARITROMICINA,54,N/A
BICARBONATO DE SODIO,54,N/A
SIMETICONA,53,N/A
TRAMADOL CLORHIDRATO,53,N/A
PSEUDOEFEDRINA CLORHIDRATO,52,N/A
TRIMETOPRIM,52,N/A
BROMHEXINA CLORHIDRATO,51,N/A
HIDROQUINONA,49,N/A
CAPTOPRIL,49,N/A
ETINILESTRADIOL,49,N/A
NIACINAMIDA,49,N/A
ZIDOVUDINA,49,N/A
SIMVASTATINA,49,N/A
PACLITAXEL,47,N/A
LAMIVUDINA,46,N/A
LEVONORGESTREL,41,N/A
DEXTROMETORFANO BROMHIDRATO,41,N/A
CARBONATO DE CALCIO,40,N/A
ALPRAZOLAM,39,N/A
CROMOGLICATO DE SODIO,39,N/A
LOSARTAN POTASICO,38,N/A
NIACINA,38,N/A
TREONINA,37,N/A
TIAMINA MONONITRATO,37,N/A
RISPERIDONA,36,N/A
CLORURO DE SODIO USP,36,N/A
TRIMETOPRIMA,36,N/A
DESLORATADINA,36,N/A
HIDROXIDO DE MAGNESIO,35,N/A
GLICINA,35,N/A
NITAZOXANIDA,35,N/A
LIDOCAINA CLORHIDRATO,35,N/A
RANITIDINA CLORHIDRATO EQUIVALENTE A RANITIDINA BASE,34,N/A
KETOPROFENO,34,N/A
KETOROLACO TROMETAMINA,33,N/A
CAFEINA,33,N/A
FENILALANINA,33,N/A
ZINC,33,N/A
METIONINA,33,N/A
VALINA,32,N/A
AMOXICILINA TRIHIDRATO EQUIVALENTE A AMOXICILINA BASE,32,N/A
FLUORURO DE SODIO,32,N/A
BUDESONIDA,32,N/A
LEUCINA,32,N/A
CALCIO,32,N/A
ACIDO PANTOTENICO,32,N/A
HISTIDINA,31,N/A
PROLINA,31,N/A
VITAMINA B6 (PIRIDOXINA CLORHIDRATO),31,N/A
TRIPTOFANO,31,N/A
MAGNESIO,31,N/A
ALANINA,30,N/A
TRIMEBUTINA MALEATO,30,N/A
METOCARBAMOL,30,N/A
BENZOCAINA,30,N/A
NAPROXENO,30,Naproxen
ARGININA,30,N/A
CAFEINA ANHIDRA,30,N/A
YODO,29,N/A
OMEPRAZOL,29,N/A
ASTEMIZOL,28,N/A
HIDROXIDO DE ALUMINIO,28,N/A
CLORURO DE CALCIO DIHIDRATADO,28,N/A
TENOXICAM,28,N/A
MEBENDAZOL,28,N/A
CLORURO DE MAGNESIO HEXAHIDRATADO,28,N/A
SELENIO,28,N/A
SERINA,27,N/A
ISOLEUCINA,27,N/A
FAMOTIDINA,27,N/A
TRICLOSAN,27,N/A
COBRE,27,N/A
ACIDO ACETIL SALICILICO,26,N/A
CROMO,26,N/A
DICLOFENACO SÓDICO,26,N/A
HIERRO,26,N/A
METOPROLOL TARTRATO,26,N/A
TAURINA,26,N/A
TEOFILINA ANHIDRA,26,N/A
GEMFIBROZILO,26,N/A
VITAMINA B2 (RIBOFLAVINA),25,N/A
NIFEDIPINO,25,N/A
NIFUROXAZIDA,25,N/A
CELECOXIB,25,N/A
MANGANESO,24,N/A
CARBAMAZEPINA,24,N/A
FUROSEMIDA,24,N/A
PSEUDOEFEDRINA SULFATO,24,N/A
CANDESARTAN CILEXETILO,24,N/A
CISPLATINO,24,N/A
METFORMINA CLORHIDRATO,24,N/A
VITAMINA A PALMITATO,24,N/A
HIDROCORTISONA,23,N/A
VITAMINA C (ACIDO ASCORBICO),23,N/A
DILTIAZEM CLORHIDRATO,23,N/A
VITAMINA A ACETATO,23,N/A
EFAVIRENZ,23,N/A
METRONIDAZOL BASE,23,N/A
ALBENDAZOL MICRONIZADO,23,N/A
MOLIBDENO,23,N/A
POTASIO,23,N/A
DEXTROSA ANHIDRA,23,N/A
CLOZAPINA,23,N/A
ATENOLOL,22,Atenolol
VITAMINA K,22,N/A
MINOXIDIL,22,N/A
ÁCIDO FÓLICO,22,N/A
VITAMINA B12 (CIANOCOBALAMINA),22,N/A
TIROSINA,22,N/A
LACTATO DE SODIO,22,N/A
PREGABALINA,21,N/A
TRETINOINA,21,N/A
FLUTICASONA PROPIONATO,21,N/A
OXALIPLATINO,21,N/A
SULFADIAZINA DE PLATA,21,N/A
BETACAROTENO,21,N/A
ORLISTAT,21,N/A
CARBOPLATINO,20,N/A
FLUBENDAZOL,20,N/A
BUSPIRONA CLORHIDRATO,20,N/A
